2026-03-28 22:30:26,838 | INFO     | model.qa_model | Inference pipeline ready (model=distilbert-base-cased-distilled-squad)
2026-03-28 22:30:26,838 | ERROR    | model.inference | Inference error: DocumentQuestionAnsweringPipeline.__call__() missing 1 required positional argument: 'image'
Traceback (most recent call last):
  File "C:\Users\deept\Downloads\QUESTIONING_ANSWER\model\inference.py", line 82, in ask_question
    raw = pipe(
          ^^^^^
TypeError: DocumentQuestionAnsweringPipeline.__call__() missing 1 required positional argument: 'image'
2026-03-28 22:30:26,838 | INFO     | qa_api | Model ready.
2026-03-28 22:31:56,632 | INFO     | qa_api | Shutting down.
2026-03-28 22:41:09,493 | INFO     | app | Starting QA API on http://0.0.0.0:8000
2026-03-28 22:41:09,808 | INFO     | qa_api | Warming up QA model …
2026-03-28 22:41:13,730 | INFO     | model.inference | Initialising QA pipeline …
2026-03-28 22:41:14,438 | INFO     | model.qa_model | Inference pipeline ready (model=distilbert-base-cased-distilled-squad)
2026-03-28 22:41:16,133 | INFO     | qa_api | Model ready.
2026-03-30 15:20:33,031 | INFO     | app | Starting QA API on http://0.0.0.0:8000
2026-03-30 15:20:34,113 | INFO     | qa_api | Warming up QA model …
2026-03-30 15:20:46,839 | INFO     | model.inference | Initialising QA pipeline …
2026-03-30 15:20:48,468 | INFO     | model.qa_model | Inference pipeline ready (model=distilbert-base-cased-distilled-squad)
2026-03-30 15:20:50,510 | INFO     | qa_api | Model ready.
2026-03-30 15:39:07,477 | INFO     | qa_api | Shutting down.
2026-03-30 15:55:25,918 | INFO     | app | Starting QA API on http://0.0.0.0:8000
2026-03-30 15:55:26,265 | INFO     | qa_api | Warming up QA model ...
2026-03-30 15:55:29,846 | INFO     | model.inference | Initialising QA pipeline …
2026-03-30 15:55:32,122 | INFO     | model.qa_model | Inference pipeline ready (model=distilbert-base-cased-distilled-squad)
2026-03-30 15:55:33,275 | INFO     | qa_api | Model ready.
2026-03-30 15:58:21,483 | INFO     | qa_api | OPTIONS /ask -> 200 (0.9 ms)
2026-03-30 15:58:21,624 | INFO     | qa_api | POST /ask -> 200 (139.2 ms)
2026-03-30 15:58:45,638 | INFO     | qa_api | OPTIONS /ask -> 200 (0.5 ms)
2026-03-30 15:58:45,766 | INFO     | qa_api | POST /ask -> 200 (120.5 ms)
2026-03-30 15:58:59,672 | INFO     | qa_api | OPTIONS /ask -> 200 (0.7 ms)
2026-03-30 15:58:59,788 | INFO     | qa_api | POST /ask -> 200 (114.7 ms)
2026-03-30 15:59:18,908 | INFO     | qa_api | OPTIONS /ask -> 200 (0.5 ms)
2026-03-30 15:59:19,036 | INFO     | qa_api | POST /ask -> 200 (123.9 ms)
2026-03-30 21:51:34,146 | INFO     | app | Loading data from data\sample_dataset.json …
2026-03-30 21:51:34,179 | INFO     | data.dataset_loader | Loaded 801 QA samples from data\sample_dataset.json
2026-03-30 21:51:34,197 | INFO     | model.qa_model | Loading tokenizer: distilbert-base-cased-distilled-squad
2026-03-30 21:51:34,900 | INFO     | model.qa_model | Loading model: distilbert-base-cased-distilled-squad
2026-03-30 21:51:35,526 | INFO     | model.qa_model | Model device: cpu | params: 65,192,450
2026-03-30 21:51:35,526 | INFO     | app | Tokenising …
2026-03-30 21:51:35,724 | INFO     | data.dataset_loader | Tokenisation complete.
